"Name","Year","Rank"
"Vincent","1904",NA
"Walter","1904",19
"Wayne","1904",NA
"Wilfred","1904",31
"William","1904",1
"Zachary","1904",NA
"Zak","1904",NA
"Aaron","1914",NA
"Abdul","1914",NA
"Adam","1914",NA
"Adrian","1914",NA
"Aidan","1914",NA
"Alan","1914",58
"Albert","1914",8
"Alec","1914",84
"Alex","1914",NA
"Alexander","1914",53
"Alfie","1914",NA
"Alfred","1914",14
"Allan","1914",89
"Andrew","1914",67
"Anthony","1914",76
"Antony","1914",NA
"Archibald","1914",88
"Archie","1914",NA
"Arnold","1914",75
"Arthur","1914",6
"Ashley","1914",NA
"Austin","1914",NA
"Bailey","1914",NA
"Barrie","1914",NA
"Barry","1914",NA
"Basil","1914",92
"Ben","1914",NA
"Benjamin","1914",63
"Bernard","1914",40
"Bertie","1914",NA
"Bertram","1914",77
"Billy","1914",NA
"Blake","1914",NA
"Bobby","1914",NA
"Bradley","1914",NA
"Brandon","1914",NA
"Brett","1914",NA
"Brian","1914",NA
"Bruce","1914",NA
"Bryan","1914",NA
"Caleb","1914",NA
"Callum","1914",NA
"Cameron","1914",NA
"Carl","1914",NA
"Carter","1914",NA
"Cecil","1914",46
"Charles","1914",9
"Charlie","1914",NA
"Christian","1914",NA
"Christopher","1914",66
"Clarence","1914",90
"Claude","1914",97
"Clifford","1914",45
"Clive","1914",NA
"Colin","1914",82
"Connor","1914",NA
"Conor","1914",NA
"Corey","1914",NA
"Craig","1914",NA
"Cyril","1914",29
"Dale","1914",NA
"Damian","1914",NA
"Damien","1914",NA
"Daniel","1914",59
"Danny","1914",NA
"Darren","1914",NA
"David","1914",32
"Dean","1914",NA
"Declan","1914",NA
"Denis","1914",69
"Dennis","1914",56
"Derek","1914",NA
"Derrick","1914",NA
"Desmond","1914",NA
"Dexter","1914",NA
"Dominic","1914",NA
"Donald","1914",41
"Douglas","1914",57
"Duncan","1914",NA
"Dylan","1914",NA
"Edgar","1914",65
"Edmund","1914",80
"Edward","1914",11
"Edwin","1914",50
"Elijah","1914",NA
"Elliot","1914",NA
"Elliott","1914",NA
"Ellis","1914",NA
"Eric","1914",27
"Ernest","1914",13
"Ethan","1914",NA
"Evan","1914",96
"Ewan","1914",NA
"Felix","1914",NA
"Finlay","1914",NA
"Finley","1914",NA
"Francis","1914",34
"Frank","1914",15
"Frankie","1914",NA
"Fred","1914",47
"Freddie","1914",NA
"Frederick","1914",7
"Gabriel","1914",NA
"Gareth","1914",NA
"Garry","1914",NA
"Gary","1914",NA
"Gavin","1914",NA
"Geoffrey","1914",55
"George","1914",3
"Gerald","1914",70
"Gerard","1914",NA
"Gilbert","1914",72
"Glen","1914",NA
"Glenn","1914",NA
"Gordon","1914",54
"Graeme","1914",NA
"Graham","1914",NA
"Gregory","1914",NA
"Guy","1914",NA
"Harley","1914",NA
"Harold","1914",18
"Harrison","1914",NA
"Harry","1914",19
"Harvey","1914",NA
"Hector","1914",NA
"Henry","1914",16
"Herbert","1914",25
"Horace","1914",43
"Howard","1914",95
"Hubert","1914",71
"Hugh","1914",61
"Hugo","1914",NA
"Iain","1914",NA
"Ian","1914",NA
"Ibrahim","1914",NA
"Isaac","1914",NA
"Ivan","1914",NA
"Ivor","1914",73
"Jack","1914",30
"Jackson","1914",NA
"Jacob","1914",NA
"Jake","1914",NA
"James","1914",5
"Jamie","1914",NA
"Jason","1914",NA
"Jaxon","1914",NA
"Jay","1914",NA
"Jayden","1914",NA
"Jeffrey","1914",NA
"Jenson","1914",NA
"Jeremy","1914",NA
"Jesse","1914",NA
"Joe","1914",NA
"Joel","1914",NA
"John","1914",1
"Jonathan","1914",NA
"Jordan","1914",NA
"Joseph","1914",12
"Josh","1914",NA
"Joshua","1914",NA
"Jude","1914",NA
"Julian","1914",NA
"Justin","1914",NA
"Kai","1914",NA
"Karl","1914",NA
"Keith","1914",NA
"Kenneth","1914",33
"Kevin","1914",NA
"Kian","1914",NA
"Kieran","1914",NA
"Kyle","1914",NA
"Laurence","1914",87
"Lawrence","1914",62
"Lee","1914",NA
"Leigh","1914",NA
"Leo","1914",NA
"Leon","1914",NA
"Leonard","1914",20
"Leslie","1914",17
"Lewis","1914",78
"Liam","1914",NA
"Lionel","1914",81
"Logan","1914",NA
"Louie","1914",NA
"Louis","1914",79
"Luca","1914",NA
"Lucas","1914",NA
"Luke","1914",NA
"Malcolm","1914",NA
"Marc","1914",NA
"Marcus","1914",NA
"Mark","1914",NA
"Martin","1914",86
"Martyn","1914",NA
"Mason","1914",NA
"Mathew","1914",NA
"Matthew","1914",85
"Maurice","1914",48
"Max","1914",NA
"Melvyn","1914",NA
"Michael","1914",39
"Mitchell","1914",NA
"Mohamed","1914",NA
"Mohammad","1914",NA
"Mohammed","1914",NA
"Morgan","1914",NA
"Morris","1914",NA
