"","Name","Year","Rank"
"241","Ricky","1904",NA
"242","Riley","1904",NA
"243","Robert","1904",15
"244","Robin","1904",NA
"245","Rodney","1904",NA
"246","Roger","1904",NA
"247","Roland","1904",80
"248","Roman","1904",NA
"249","Ronald","1904",41
"250","Ronnie","1904",NA
"251","Rory","1904",NA
"252","Ross","1904",NA
"253","Roy","1904",NA
"254","Royston","1904",NA
"255","Russell","1904",NA
"256","Ryan","1904",NA
"257","Sam","1904",NA
"258","Samuel","1904",32
"259","Scott","1904",NA
"260","Sean","1904",NA
"261","Sebastian","1904",NA
"262","Shane","1904",NA
"263","Shaun","1904",NA
"264","Sidney","1904",27
"265","Simon","1904",NA
"266","Stanley","1904",23
"267","Stephen","1904",67
"268","Steven","1904",NA
"269","Stewart","1904",NA
"270","Stuart","1904",NA
"271","Sydney","1904",36
"272","Taylor","1904",NA
"273","Teddy","1904",NA
"274","Terence","1904",NA
"275","Terry","1904",NA
"276","Theo","1904",NA
"277","Theodore","1904",NA
"278","Thomas","1904",4
"279","Timothy","1904",NA
"280","Toby","1904",NA
"281","Tom","1904",63
"282","Tommy","1904",NA
"283","Tony","1904",NA
"284","Trevor","1904",NA
"285","Tyler","1904",NA
"286","Victor","1904",47
"287","Vincent","1904",NA
"288","Walter","1904",19
"289","Wayne","1904",NA
"290","Wilfred","1904",31
"291","William","1904",1
"292","Zachary","1904",NA
"293","Zak","1904",NA
"294","Aaron","1914",NA
"295","Abdul","1914",NA
"296","Adam","1914",NA
"297","Adrian","1914",NA
"298","Aidan","1914",NA
"299","Alan","1914",58
"300","Albert","1914",8
"301","Albie","1914",NA
"302","Alec","1914",84
"303","Alex","1914",NA
"304","Alexander","1914",53
"305","Alfie","1914",NA
"306","Alfred","1914",14
"307","Allan","1914",89
"308","Andrew","1914",67
"309","Anthony","1914",76
"310","Antony","1914",NA
"311","Archibald","1914",88
"312","Archie","1914",NA
"313","Arlo","1914",NA
"314","Arnold","1914",75
"315","Arthur","1914",6
"316","Ashley","1914",NA
"317","Austin","1914",NA
"318","Bailey","1914",NA
"319","Barrie","1914",NA
"320","Barry","1914",NA
"321","Basil","1914",92
"322","Ben","1914",NA
"323","Benjamin","1914",63
"324","Bernard","1914",40
"325","Bertie","1914",NA
"326","Bertram","1914",77
"327","Billy","1914",NA
"328","Blake","1914",NA
"329","Bobby","1914",NA
"330","Bradley","1914",NA
"331","Brandon","1914",NA
"332","Brett","1914",NA
"333","Brian","1914",NA
"334","Bruce","1914",NA
"335","Bryan","1914",NA
"336","Caleb","1914",NA
"337","Callum","1914",NA
"338","Cameron","1914",NA
"339","Carl","1914",NA
"340","Carter","1914",NA
"341","Cecil","1914",46
"342","Charles","1914",9
"343","Charlie","1914",NA
"344","Christian","1914",NA
"345","Christopher","1914",66
"346","Clarence","1914",90
"347","Claude","1914",97
"348","Clifford","1914",45
"349","Clive","1914",NA
"350","Colin","1914",82
"351","Connor","1914",NA
"352","Conor","1914",NA
"353","Corey","1914",NA
"354","Craig","1914",NA
"355","Cyril","1914",29
"356","Dale","1914",NA
"357","Damian","1914",NA
"358","Damien","1914",NA
"359","Daniel","1914",59
"360","Danny","1914",NA
"361","Darren","1914",NA
"362","David","1914",32
"363","Dean","1914",NA
"364","Declan","1914",NA
"365","Denis","1914",69
"366","Dennis","1914",56
"367","Derek","1914",NA
"368","Derrick","1914",NA
"369","Desmond","1914",NA
"370","Dexter","1914",NA
"371","Dominic","1914",NA
