"","Name","Year","Rank"
"208","Lesley","1904",NA
"209","Lexi","1904",NA
"210","Libby","1904",NA
"211","Lilian","1904",15
"212","Lillian","1904",66
"213","Lilly","1904",NA
"214","Lily","1904",20
"215","Linda","1904",NA
"216","Lindsay","1904",NA
"217","Lindsey","1904",NA
"218","Lisa","1904",NA
"219","Lola","1904",NA
"220","Lorraine","1904",NA
"221","Lottie","1904",NA
"222","Louisa","1904",53
"223","Louise","1904",NA
"224","Lucy","1904",50
"225","Luna","1904",NA
"226","Lydia","1904",91
"227","Lynda","1904",NA
"228","Lyndsey","1904",NA
"229","Lynn","1904",NA
"230","Lynne","1904",NA
"231","Lynsey","1904",NA
"232","Mabel","1904",24
"233","Maddison","1904",NA
"234","Madeleine","1904",NA
"235","Madison","1904",NA
"236","Maisie","1904",NA
"237","Mandy","1904",NA
"238","Margaret","1904",7
"239","Margery","1904",98
"240","Maria","1904",80
"241","Marian","1904",NA
"242","Marie","1904",79
"243","Marilyn","1904",NA
"244","Marina","1904",NA
"245","Marion","1904",68
"246","Marjorie","1904",27
"247","Marlene","1904",NA
"248","Martha","1904",64
"249","Mary","1904",1
"250","Maryam","1904",NA
"251","Matilda","1904",NA
"252","Maud","1904",49
"253","Maureen","1904",NA
"254","Mavis","1904",NA
"255","Maxine","1904",NA
"256","May","1904",28
"257","Maya","1904",NA
"258","Megan","1904",NA
"259","Melanie","1904",NA
"260","Melissa","1904",NA
"261","Mia","1904",NA
"262","Michele","1904",NA
"263","Michelle","1904",NA
"264","Mila","1904",NA
"265","Mildred","1904",72
"266","Millicent","1904",87
"267","Millie","1904",NA
"268","Minnie","1904",48
"269","Miriam","1904",94
"270","Mollie","1904",NA
"271","Molly","1904",NA
"272","Monica","1904",NA
"273","Morgan","1904",NA
"274","Muriel","1904",46
"275","Nancy","1904",100
"276","Naomi","1904",NA
"277","Natalie","1904",NA
"278","Natasha","1904",NA
"279","Nellie","1904",22
"280","Niamh","1904",NA
"281","Nichola","1904",NA
"282","Nicola","1904",NA
"283","Nicole","1904",NA
"284","Nora","1904",55
"285","Norah","1904",62
"286","Norma","1904",NA
"287","Olive","1904",30
"288","Olivia","1904",NA
"289","Paige","1904",NA
"290","Pamela","1904",NA
"291","Patricia","1904",NA
"292","Paula","1904",NA
"293","Pauline","1904",NA
"294","Peggy","1904",NA
"295","Penelope","1904",NA
"296","Phoebe","1904",NA
"297","Phyllis","1904",32
"298","Poppy","1904",NA
"299","Rachael","1904",NA
"300","Rachel","1904",96
"301","Rebecca","1904",NA
"302","Rebekah","1904",NA
"303","Rhiannon","1904",NA
"304","Rita","1904",NA
"305","Robyn","1904",NA
"306","Rose","1904",29
"307","Rosemary","1904",NA
"308","Rosie","1904",NA
"309","Rosina","1904",84
"310","Ruby","1904",77
"311","Ruth","1904",73
"312","Sally","1904",NA
"313","Samantha","1904",NA
"314","Sandra","1904",NA
"315","Sara","1904",NA
"316","Sarah","1904",21
"317","Scarlett","1904",NA
"318","Shannon","1904",NA
"319","Sharon","1904",NA
"320","Sheila","1904",NA
"321","Shirley","1904",NA
"322","Sian","1904",NA
"323","Sienna","1904",NA
"324","Skye","1904",NA
"325","Sofia","1904",NA
"326","Sonia","1904",NA
"327","Sophia","1904",NA
"328","Sophie","1904",NA
"329","Stacey","1904",NA
"330","Stella","1904",NA
"331","Stephanie","1904",NA
"332","Summer","1904",NA
"333","Susan","1904",NA
"334","Suzanne","1904",NA
"335","Sybil","1904",NA
"336","Sylvia","1904",NA
"337","Tanya","1904",NA
"338","Tara","1904",NA
"339","Teresa","1904",NA
"340","Thea","1904",NA
"341","Thelma","1904",NA
"342","Theresa","1904",NA
"343","Tia","1904",NA
"344","Tilly","1904",NA
"345","Tina","1904",NA
"346","Toni","1904",NA
"347","Tracey","1904",NA
"348","Tracy","1904",NA
